stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding
PG108,,PG108-Venancia Leiva / Esq. La Pradera,-33.557697,-70.636028,,0
PG109,,PG109-Venancia Leiva / Esq. El Bosque,-33.557923,-70.634354,,0
PG110,,PG110-Venancia Leiva / Esq. Av. Santa Rosa,-33.558106,-70.633037,,0
PE63,,PE63-Parada 2 / Paradero 30 Santa Rosa,-33.556334,-70.631315,,0
PE71,,PE71-Parada 2 / Hospital Padre Hurtado,-33.553030,-70.632044,,0
PE112,,PE112-Parada 2 / Paradero 28 Santa Rosa,-33.549723,-70.632766,,0
PE113,,PE113-Parada 2 / Paradero 26 Santa Rosa,-33.545590,-70.633575,,0
PE114,,PE114-Parada 4 / (M) Santa Rosa,-33.543124,-70.633976,,0
PE66,,PE66-Parada 4 / Paradero 23 Santa Rosa,-33.537911,-70.634349,,0
PE67,,PE67-Parada 2 / Paradero 22 Santa Rosa,-33.533873,-70.634541,,0
PE68,,PE68-Parada 4 / Paradero 20 Santa Rosa,-33.529171,-70.635316,,0
PE69,,PE69-Parada 4 / Paradero 19 Santa Rosa,-33.526262,-70.635673,,0
PE70,,PE70-Parada 4 / Paradero 18 Santa Rosa,-33.521627,-70.636186,,0
PH150,,PH150-Parada 4 / Paradero 16 Santa Rosa,-33.517330,-70.636682,,0
