Comuna;TOTAL
SANTIAGO;4
SANTIAGO;10
SANTIAGO;6
SANTIAGO;1
SANTIAGO;5
SANTIAGO;12
SANTIAGO;19
SANTIAGO;64
SANTIAGO;2
SANTIAGO;347
SANTIAGO;3
SANTIAGO;129
SANTIAGO;36
SANTIAGO;224
SANTIAGO;177
SANTIAGO;209
SANTIAGO;320
SANTIAGO;5
SANTIAGO;0
SANTIAGO;24
SANTIAGO;90
SANTIAGO;70
SANTIAGO;3
SANTIAGO;160
SANTIAGO;0
SANTIAGO;703
SANTIAGO;802
SANTIAGO;60
SANTIAGO;141
SANTIAGO;14
SANTIAGO;184
SANTIAGO;110
SANTIAGO;14
SANTIAGO;8
SANTIAGO;261
SANTIAGO;1
SANTIAGO;7
SANTIAGO;93
SANTIAGO;2
SANTIAGO;27
SANTIAGO;206
SANTIAGO;634
SANTIAGO;5
SANTIAGO;42
SANTIAGO;190
SANTIAGO;0
SANTIAGO;11
SANTIAGO;116
SANTIAGO;33
SANTIAGO;3
SANTIAGO;9
SANTIAGO;3
SANTIAGO;172
SANTIAGO;1
SANTIAGO;167
SANTIAGO;26
SANTIAGO;253
SANTIAGO;5
SANTIAGO;96
SANTIAGO;49
SANTIAGO;0
SANTIAGO;5
SANTIAGO;208
SANTIAGO;126
SANTIAGO;452
SANTIAGO;409
SANTIAGO;262
SANTIAGO;3
SANTIAGO;1
SANTIAGO;1
SANTIAGO;1
SANTIAGO;0
SANTIAGO;6
SANTIAGO;2
SANTIAGO;7
SANTIAGO;8
SANTIAGO;18
SANTIAGO;1
SANTIAGO;211
SANTIAGO;12
SANTIAGO;170
SANTIAGO;54
SANTIAGO;427
SANTIAGO;2
SANTIAGO;6
SANTIAGO;10
SANTIAGO;120
SANTIAGO;29
SANTIAGO;30
SANTIAGO;4
SANTIAGO;1
SANTIAGO;34
SANTIAGO;178
SANTIAGO;131
SANTIAGO;16
SANTIAGO;290
SANTIAGO;133
SANTIAGO;2
SANTIAGO;33
SANTIAGO;2
SANTIAGO;95
SANTIAGO;9
SANTIAGO;19
SANTIAGO;15
SANTIAGO;4
SANTIAGO;237
SANTIAGO;344
SANTIAGO;383
SANTIAGO;611
SANTIAGO;0
SANTIAGO;3
SAN JOAQUIN;7
SAN JOAQUIN;54
SAN JOAQUIN;98
SAN JOAQUIN;1
SAN JOAQUIN;46
SAN JOAQUIN;11
SAN JOAQUIN;25
SAN JOAQUIN;16
